# ASD-STE100 Simplified Technical English, Issue 9 (January 2025), Part 2, Dictionary.
# One line per entry, sorted by word. Fields are separated by " | ":
#
#   word (part of speech) | verdict | approved meaning | use instead
#
# The verdict is "approved" or "not approved". A dash means the field does not apply.
# For an approved word, "use instead" gives what to use for its other senses, and is a
# dash when the word carries only the one meaning. For a word that is not approved, the
# field gives the approved words to use, or the standard's guidance where it gives no
# substitute. (TN) marks a technical noun and (TV) a technical verb, which name a
# category for your own terms rather than a specific word.
#
# Look a word up with its trailing space, so the match is the entry and not a mention
# of the word somewhere else:
#
#   grep -i "^work " ste100-words.txt
adhere (v) | not approved | - | BOND (v), OBEY (v)
adhesion (n) | not approved | - | BOND (n)
ADJACENT (adj) | approved | that which is near to an object, with no other object of the same type between the two | -
ADJACENT TO (prep) | approved | to be near to an object, with no other object of the same type between the two | -
adjoining (adj) | not approved | - | ADJACENT (adj)
ADJUST (v) | approved | to put in or come to a specified position or value | -
ADJUSTABLE (adj) | approved | that you can adjust | -
ADJUSTMENT (n) | approved | the effect of adjusting | -
admit (v) | not approved | - | LET (v)
adopt (v) | not approved | - | USE (v)
advance (n) | not approved | - | FORWARD (adj)
advance (v) | not approved | - | SET (v), FORWARD (adv)
adverse (adj) | not approved | - | BAD (adj)
advisable (adj) | not approved | - | RECOMMEND (v)
advise (v) | not approved | - | TELL (v), RECOMMEND (v)
affect (v) | not approved | - | EFFECT (n)
AFT (adj) | approved | at or nearer to the rear of an air or sea vehicle | -
AFT (adv) | approved | in the direction of the rear of an air or sea vehicle | -
AFT OF (prep) | approved | at a position nearer to the rear | -
AFTER (conj) | approved | that follows a specified time, sequence, or operation | -
AFTER (prep) | approved | that follows a specified time, sequence, or operation | -
AGAIN (adv) | approved | one more occurrence | -
AGAINST (prep) | approved | in contact with | -
AGENT (n) | approved | one of a group of materials made to do a specified task | -
aggravate (v) | not approved | - | INCREASE (v)
agitate (v) | not approved | - | SHAKE (v)
agitation (n) | not approved | - | SHAKE (v)
AGREE (v) | approved | to be consistent with | -
ahead (adv) | not approved | - | FORWARD (adv)
AID (n) | approved | help that is given | -
aid (v) | not approved | - | HELP (v)
aim (v) | not approved | - | POINT (v)
air-dry (v) | not approved | - | DRY (v)
AIRBORNE (adj) | approved | in, or used in, flight | -
AIRFLOW (n) | approved | a flow of air | -
alert (v) | not approved | - | TELL (v)
ALIGN (v) | approved | to put or come into a specified position in relation to a line | -
alignment (n) | not approved | - | ALIGN (v)
ALL (adj) | approved | full quantity | -
allocate (v) | not approved | - | GIVE (v)
allow (v) | not approved | - | LET (v)
allowable (adj) | not approved | - | PERMITTED (adj), APPROVED (adj)
ALMOST (adv) | approved | near the limit or the value | -
ALONG (prep) | approved | in a line parallel with the length or direction of | -
already (adv) | not approved | - | IN PROGRESS (adv), NO OTHER
ALSO (adv) | approved | in addition | -
alter (v) | not approved | - | CHANGE (v)
alteration (n) | not approved | - | CHANGE (v)
alternate (adj) | not approved | - | ALTERNATIVE (adj), EACH SECOND
alternate (v) | not approved | - | THEN (adv)
alternately (adv) | not approved | - | IN ONE (TN), THEN THE OTHER
ALTERNATIVE (adj) | approved | that gives a choice | -
ALTERNATIVE (n) | approved | one of two or more objects or processes that have the same or almost the same properties or functions | -
alternatively (adv) | not approved | - | ALTERNATIVE (n)
ALTHOUGH (conj) | approved | in spite of the fact that | -
ALWAYS (adv) | approved | at all times | -
amend (v) | not approved | - | CHANGE (v)
amendment (n) | not approved | - | CHANGE (n), CHANGE (v)
among (prep) | not approved | - | IN (prep)
amount (n) | not approved | - | QUANTITY (n)
AN (art) | approved | function word: indefinite article | -
ANALOG (adj) | approved | of data given by pointers and dials | -
analyze (v) | not approved | - | ANALYSIS (TN)
anchor (v) | not approved | - | ATTACH (v)
ancillary (adj) | not approved | - | AUXILIARY (adj), SECONDARY (adj)
AND (conj) | approved | function word used to connect words, phrases, or clauses | -
ANGULAR (adj) | approved | that has one or more angles | -
annotation (n) | not approved | - | WRITE (v), RECORD (v)
annunciate (v) | not approved | - | SHOW (v)
another (adj) | not approved | - | ONE (TN), DIFFERENT (adj), AGAIN (adv)
anticlockwise (adv) | not approved | - | COUNTERCLOCKWISE (adv)
any (adj) | not approved | - | Frequently, an alternative for this word is not necessary.
any (pron) | not approved | - | ONE (TN)
anytime (adv) | not approved | - | WHEN (conj)
APART (adv) | approved | at a distance (not specified) from | -
aperture (n) | not approved | - | OPENING (n)
apparent (adj) | not approved | - | SEE (v), FIND (v)
appear (v) | not approved | - | SHOW (v), VIEW (n), THINK (v), POSSIBLE (adj)
APPLICABLE (adj) | approved | correct or satisfactory for the task | -
application (n) | not approved | - | APPLY (v)
APPLY (v) | approved | to put or spread something on; to use something (for example, pressure, force, load) to cause an effect | -
appoint (v) | not approved | - | TELL (v)
approach (v) | not approved | - | GO NEAR
appropriate (adj) | not approved | - | APPLICABLE (adj)
APPROVAL (n) | approved | that which permits a person or a thing to do something | -
approve (v) | not approved | - | APPROVAL (n)
APPROVED (adj) | approved | permitted by an authority | -
APPROXIMATE (adj) | approved | almost correct or accurate | -
APPROXIMATELY (adv) | approved | almost correct or accurate | -
AREA (n) | approved | a specified surface or location | -
arise (v) | not approved | - | OCCUR (v), CAUSE (v)
ARM (v) | approved | to install armaments; to prepare for automatic operation | -
AROUND (prep) | approved | on all sides of | APPROXIMATELY (adv)
arrange (v) | not approved | - | PUT (v)
arrangement (n) | not approved | - | CONFIGURATION (TN), PREPARE (v)
arrest (v) | not approved | - | STOP (v), HOLD (v)
arrive (v) | not approved | - | GET (v)
ARROW (n) | approved | a mark that has a point to show direction | -
article (n) | not approved | - | OBJECT (n)
as (conj) | not approved | - | BECAUSE (conj), WHILE (conj), AS FOLLOWS, AS NECESSARY, AS SHOWN
AS (prep) | approved | in the manner of, to the same quantity, equally | -
AS ... AS (conj) | approved | construction used to show comparison or relation For "as long as," refer to "long (as long as)." | -
as to (prep) | not approved | - | ABOUT (prep)
ascertain (v) | not approved | - | MAKE SURE (v)
ask (v) | not approved | - | TELL (v), SPEAK (v)
ASSEMBLE (v) | approved | to attach, connect, or put together the parts of something | -
ASSEMBLY (n) | approved | items that are connected for a specified function | -
assess (v) | not approved | - | CALCULATE (v), ESTIMATE (n)
assessment (n) | not approved | - | ESTIMATE (n), CALCULATE (v)
assign (v) | not approved | - | GIVE (v)
assist (v) | not approved | - | HELP (v)
assistance (n) | not approved | - | AID (n), HELP (v)
associated (adj) | not approved | - | CORRECT (adj), RELATED (adj), ITS (adj), THEIR (adj)
assume (v) | not approved | - | THINK (v)
assure (v) | not approved | - | MAKE SURE (v)
asymmetric (adj) | not approved | - | NOT SYMMETRICAL
AT (prep) | approved | function word that shows the location, position, direction, or time that something occurs | -
ATTACH (v) | approved | to stay together or to cause different items to stay together | -
attachment (n) | not approved | - | ATTACH (v)
attain (v) | not approved | - | SHOW (v), BE (v), GET (v)
attempt (n) | not approved | - | TRY (v)
attempt (v) | not approved | - | TRY (v)
attention (n) | not approved | - | AID (n), CAREFUL (adj), MONITOR (v)
audible (adj) | not approved | - | HEAR (v), LISTEN (v)
augment (v) | not approved | - | INCREASE (v)
aurally (adv) | not approved | - | LISTEN (v), HEAR (v)
authentic (adj) | not approved | - | ACCURATE (adj)
AUTHORITY (n) | approved | an official organization that gives approval to something | -
authorized (adj) | not approved | - | APPROVED (adj)
AUTOMATIC (adj) | approved | that operates without other input | -
AUTOMATICALLY (adv) | approved | that operates without other input | -
AUXILIARY (adj) | approved | that operates in a secondary function; that gives help | -
AVAILABLE (adj) | approved | prepared or supplied for you to use | -
avert (v) | not approved | - | PREVENT (v)
avoid (v) | not approved | - | PREVENT (v), DO NOT
aware (adj) | not approved | - | KNOW (v), TELL (v)
AWAY FROM (prep) | approved | in or to a different position or direction | -
AXIAL (adj) | approved | related to an axis | -
AXIALLY (adv) | approved | related to an axis | -
back (adj) | not approved | - | REAR (adj)
BACK (adv) | approved | to an initial condition | -
back (n) | not approved | - | REAR (n)
back and forth (adv) | not approved | - | DIRECTION (n)
back off (v) | not approved | - | LOOSEN (v)
backup (n) | not approved | - | EMERGENCY (n), AUXILIARY (adj)
backward (adv) | not approved | - | REARWARD (adv)
BAD (adj) | approved | not satisfactory word if more accurate and clear words are available. | -
badly (adv) | not approved | - | INCORRECTLY (adv), UNSATISFACTORILY (adv), DECREASE (v)
BALANCE (v) | approved | to make equal | -
bank (v) | not approved | - | BANK (TN)
BARE (adj) | approved | without a surface layer or protection | -
bared (adj) | not approved | - | BARE (adj)
base (n) | not approved | - | BOTTOM (n)
base (v) | not approved | - | USE (v)
BASIC (adj) | approved | approved minimum | -
BE (v) | approved | to occur, exist; to have a property, to be equal to | -
BECAUSE (conj) | approved | as a result of | -
BECAUSE OF (prep) | approved | as a result of | -
BECOME (v) | approved | to come to be | -
BEFORE (conj) | approved | that precedes a specified time, sequence, or operation | -
BEFORE (prep) | approved | that precedes a specified time, sequence, or operation | -
begin (v) | not approved | - | START (v)
beginning (n) | not approved | - | START (n), SOURCE (n), START (v)
BEHIND (prep) | approved | in a position at the rear of | -
below (adv) | not approved | - | FOLLOW (v), THESE (adj)
BELOW (prep) | approved | in (or to) a position farther down than something | LESS THAN
BEND (n) | approved | the area where something is bent | -
BEND (v) | approved | to change or cause to change from straight to curved | -
beneath (prep) | not approved | - | BELOW (prep)
beside (prep) | not approved | - | ADJACENT TO
BETWEEN (prep) | approved | related to something before and after in time or position | -
beware (v) | not approved | - | CAREFUL (adj)
beyond (prep) | not approved | - | MORE THAN
big (adj) | not approved | - | LARGE (adj)
bind (v) | not approved | - | FREELY (adv), WIND AROUND
blank (v) | not approved | - | SEAL (v), CAP (TN), COVER (TN)
BLEED (v) | approved | to let a gas out of | -
blend (v) | not approved | - | MIX (v)
block (v) | not approved | - | CAUSE A BLOCKAGE
BLOCKAGE (n) | approved | that which prevents correct operation | -
BLOCKED (adj) | approved | that prevents correct operation | -
blot (v) | not approved | - | DRY (v)
BLOW (v) | approved | to cause gas to move | -
BLUNT (adj) | approved | not sharp | -
blunted (adj) | not approved | - | BLUNT (adj)
bolt (v) | not approved | - | ATTACH (v) (WITH A BOLT [TN] OR BOLTS [TN])
BOND (n) | approved | a connection between structural components for electrical continuity; A firm connection with another material | -
BOND (v) | approved | to make an electrical bond; to attach firmly or become firmly attached with another material | -
both (adj) | not approved | - | THE TWO (TN)
BOTTOM (adj) | approved | that is lowermost | -
BOTTOM (n) | approved | the lowermost position | -
bottom (v) | not approved | - | TOUCH (v)
bounds (n) | not approved | - | LIMIT (n)
brace (v) | not approved | - | HOLD (v), STRONG (adj)
branch (v) | not approved | - | DIVIDE (v)
breadth (n) | not approved | - | WIDTH (n)
break (n) | not approved | - | STOP (v)
BREAK (v) | approved | to cause to separate or become separated into parts by force | -
breakdown (n) | not approved | - | STOP (v)
BREATHE (v) | approved | to get gas into or out of the lungs | -
BRIGHT (adj) | approved | that gives much light | -
BRIGHTLY (adv) | approved | in a bright manner | -
brilliance (n) | not approved | - | INTENSITY (n), BRIGHT (adj)
bring (v) | not approved | - | MOVE (v), PUT (v)
briskly (adv) | not approved | - | QUICKLY (adv)
broadcast (v) | not approved | - | TRANSMIT (v)
brush (v) | not approved | - | BRUSH (TN)
brush on (v) | not approved | - | BRUSH (TN)
BUBBLE (n) | approved | a small quantity of gas in a liquid or a solid | -
build (n) | not approved | - | STRUCTURE (n)
build (v) | not approved | - | ASSEMBLE (v)
bump (v) | not approved | - | HIT (v)
BURN (v) | approved | to cause or undergo combustion; to cause injury or damage through heat | -
burst (v) | not approved | - | BREAK (v)
BUT (conj) | approved | on the contrary | -
butt (v) | not approved | - | TOUCH (v)
BY (prep) | approved | mathematical function word | -
by means of (prep) | not approved | - | WITH (prep)
BYPASS (v) | approved | to change a circuit so that it goes past something instead of through it | -
CALCULATE (v) | approved | to find a result by mathematics | -
calculation (n) | not approved | - | CALCULATE (v)
CALIBRATE (v) | approved | to measure and adjust the precision of something | -
CALIBRATION (n) | approved | the procedure that calibrates | -
call (v) | not approved | - | TELL (v)
CAN (v) | approved | auxiliary modal verb that means to be possible, to be able to, or to be permitted to. Do not use COULD to show possibility. | -
CANCEL (v) | approved | to do the necessary steps to stop a process; to remove the validity of something | -
CANNOT (v) | approved | auxiliary modal verb that means to not be able to | -
cap (v) | not approved | - | SEAL (v), CAP (TN), COVER (TN)
capability (n) | not approved | - | FUNCTION (n), CAN (v)
capable (adj) | not approved | - | APPROVED (adj), CAN (v)
CAPACITY (n) | approved | the maximum quantity that something can hold or make | -
care (n) | not approved | - | PRECAUTION (n), CAREFUL (adj), CAREFULLY (adv)
CAREFUL (adj) | approved | with precaution | -
CAREFULLY (adv) | approved | in a careful manner | -
carry (v) | not approved | - | TRANSMIT (v), TRANSPORT (TN)
carry out (v) | not approved | - | DO (v), MEASURE (v)
case (n) | not approved | - | CONDITION (n)
case (in case of) (conj) | not approved | - | IF (conj)
CATCH (v) | approved | to stop or prevent the movement of something | COLLECT (v)
categorize (v) | not approved | - | CATEGORY (TN)
CAUSE (n) | approved | something that brings about a result | -
CAUSE (v) | approved | to be the cause of | -
caution (v) | not approved | - | TELL (v)
cautiously (adv) | not approved | - | CAREFULLY (adv)
cavity (n) | not approved | - | HOLE (n), SPACE (n)
cease (v) | not approved | - | STOP (v)
center (v) | not approved | - | CENTER (TN)
centralize (v) | not approved | - | CENTER (TN)
certain (adj) | not approved | - | SURE (adj), SOME (adj), SPECIFIED (adj)
certify (v) | not approved | - | WRITE (v), APPROVAL (n)
chafe (v) | not approved | - | RUB (v)
chafed (adj) | not approved | - | WORN (adj)
chance (by chance) (n) | not approved | - | RISK (n), ACCIDENTALLY (adv)
CHANGE (n) | approved | that which occurs when something changes | -
CHANGE (v) | approved | to become or to cause to become different | REPLACE (v)
channel (v) | not approved | - | CHANNEL (TN)
characteristic (n) | not approved | - | PROPERTY (n), QUALITY (n)
CHARGE (v) | approved | to accumulate or add electrical energy | FILL (v), PRESSURIZE (v)
CHECK (n) | approved | the procedure you do to make sure that something operates correctly or has no defects | -
check (v) | not approved | - | MAKE SURE (v), MEASURE (v), EXAMINE (v), CHECK (n)
CHEMICAL (adj) | approved | related to a chemical | -
CHEMICALLY (adv) | approved | related to a chemical | -
chip (n) | not approved | - | PARTICLE (n)
chip (v) | not approved | - | DAMAGED (adj)
chock (v) | not approved | - | CHOCK (TN)
choice (n) | not approved | - | SELECTION (n), ALTERNATIVE (adj)
choose (v) | not approved | - | SELECT (v), ALTERNATIVE (adj)
circa (prep) | not approved | - | APPROXIMATELY (adv)
circle (v) | not approved | - | AROUND (prep)
CIRCULAR (adj) | approved | that has the shape of a circle | -
circulate (v) | not approved | - | SUPPLY (v)
clamp (v) | not approved | - | ATTACH (v) (WITH A CLAMP [TN] OR CLAMPS [TN]), PUT (v) (A CLAMP [TN] OR CLAMPS [TN])
classification (n) | not approved | - | CLASS (TN), CATEGORY (TN)
CLEAN (adj) | approved | that does not include dirt or unwanted material | -
CLEAN (v) | approved | to remove dirt or unwanted materials | -
cleanliness (n) | not approved | - | CLEAN (adj)
CLEAR (adj) | approved | without blockage or interference; easy to understand and without ambiguity | TRANSPARENT (adj)
clear (v) | not approved | - | CLEAN (v)
CLEARANCE (n) | approved | the space between two objects that must be clear to make sure that they do not touch | -
CLEARLY (adv) | approved | in a clear and not ambiguous manner | -
CLICK (n) | approved | a short, sharp sound | -
click (v) | not approved | - | CLICK (n)
clip (v) | not approved | - | CUT (v), ATTACH (v) (WITH A CLIP [TN] OR CLIPS [TN])
CLOCKWISE (adv) | approved | in the direction in which the hands of a clock turn 40 when seen from the front | -
CLOGGED (adj) | approved | blocked with unwanted material. | -
close (adj) | not approved | - | NEAR (prep)
CLOSE (v) | approved | to move together, or to move to a position that stops or prevents materials from going in or out; to operate a circuit breaker to make an electrical circuit | -
close to (adv) | not approved | - | NEAR (prep)
closely (adv) | not approved | - | CAREFULLY (adv)
coat (n) | not approved | - | LAYER (n)
coat (v) | not approved | - | LAYER (n)
coating (n) | not approved | - | LAYER (n)
cock (v) | not approved | - | SET (v)
CODE (n) | approved | a sequence of symbols, letters, and/or numbers used for identification | -
code (v) | not approved | - | IDENTIFY (v), CODE (n)
COIL (n) | approved | a sequence of loops | -
coil (v) | not approved | - | WIND (v)
coincide (v) | not approved | - | ALIGN (v)
coincident (adj) | not approved | - | SYNCHRONIZED (adj), ALIGN (v)
COLD (adj) | approved | at low temperature | -
collapse (v) | not approved | - | CLOSE (v), FALL (v)
COLLECT (v) | approved | to come, or cause to come, together in one location | -
COLOR (n) | approved | a property of light | -
color code (v) | not approved | - | IDENTIFY (v), CODE (n)
colored (adj) | not approved | - | COLOR (n)
combine (v) | not approved | - | MIX (v), PUT TOGETHER
combustible (adj) | not approved | - | FLAMMABLE (adj)
COME (v) | approved | to move to your location | -
COME ON (v) | approved | to become bright with light when an internal power source is | -
commence (v) | not approved | - | START (v)
commencement (n) | not approved | - | START (v)
common (adj) | not approved | - | SAME (adv)
communicate (v) | not approved | - | CONTACT (v), SPEAK (v), HEAR (v), COMMUNICATION (n)
COMMUNICATION (n) | approved | the exchange of information through a common system of symbols, signs, or sounds | -
COMPARE (v) | approved | to examine for differences | -
comparison (n) | not approved | - | COMPARE (v)
COMPATIBLE (adj) | approved | that can operate together satisfactorily or be used together safely | -
compile (v) | not approved | - | MAKE A LIST, RECORD (v), COLLECT (v)
complete (adj) | not approved | - | FULL (adj), ALL (adj), COMPLETED (adj)
COMPLETE (v) | approved | to bring to an end | -
COMPLETED (adj) | approved | successfully brought to an end | -
completely (adv) | not approved | - | FULLY (adv)
completion (n) | not approved | - | END (n), COMPLETE (v)
complicated (adj) | not approved | - | NOT EASY
comply (v) | not approved | - | OBEY (v)
COMPONENT (n) | approved | a part, subassembly, or unit that has a specified function | -
comprehensive (adj) | not approved | - | FULL (adj)
COMPRESS (v) | approved | to decrease or cause to decrease in dimension or volume | -
comprise (v) | not approved | - | HAVE (v), CONTAIN (v)
compulsory (adj) | not approved | - | MANDATORY (adj)
compute (v) | not approved | - | CALCULATE (v)
concentrate (v) | not approved | - | ALL (adj)
CONCENTRATION (n) | approved | the strength of something contained in a mixture | -
CONCENTRIC (adj) | approved | that has a common center | -
concern (v) | not approved | - | APPLICABLE (adj)
conclusion (n) | not approved | - | END (n), RESULT (n)
concurrently (adj) | not approved | - | AT THE SAME TIME
CONDENSATION (n) | approved | the result when a gas changes into a liquid | -
CONDITION (n) | approved | something that is necessary for what occurs; the state of an item Use IF (conj) for "on the condition that." | -
conduct (v) | not approved | - | DO (v)
confine to (v) | not approved | - | ONLY (adv)
confirm (v) | not approved | - | MAKE SURE (v)
conflict (n) | not approved | - | DIFFERENT (adj), AGREE (v)
conform (v) | not approved | - | AGREE (v)
conformance (n) | not approved | - | AGREE (v)
conformity (n) | not approved | - | AGREE (v)
CONNECT (v) | approved | to come together or cause to come together to make one unit or system | -
CONNECTION (n) | approved | that which connects or is connected | -
consecutive (adj) | not approved | - | ONE (TN), OTHER
consecutively (adv) | not approved | - | ONE (TN), OTHER, SEQUENCE (n)
consequence (n) | not approved | - | BECAUSE OF (prep)
consider (v) | not approved | - | THINK (v)
considerable (adj) | not approved | - | LARGE (adj), IMPORTANT (adj), DANGEROUS (adj)
consist of (v) | not approved | - | HAVE (v)
consistent (adj) | not approved | - | AGREE (v)
CONSTANT (adj) | approved | that continues to be the same, without change | -
CONSTANTLY (adv) | approved | incessantly | -
construct (v) | not approved | - | ASSEMBLE (v)
consult (v) | not approved | - | REFER (v)
CONTACT (v) | approved | to start communication | TOUCH (v)
CONTAIN (v) | approved | to have in something or hold in something | -
CONTAINER (n) | approved | something that holds fluids, materials, or objects | -
contaminant (n) | not approved | - | CONTAMINATION (n)
contaminated (adj) | not approved | - | DIRTY (adj), CONTAMINATION (n)
CONTAMINATION (n) | approved | unwanted change of the original condition of a material because of chemical or physical agents or a material that causes such a change | -
CONTENTS (n) | approved | something that is in a container | -
contiguous (adj) | not approved | - | ADJACENT (adj)
CONTINUE (v) | approved | to stay or keep in current condition or operation | -
CONTINUOUS (adj) | approved | that continues | -
CONTINUOUSLY (adv) | approved | in a continuous manner | -
CONTOUR (n) | approved | the outer line of something | -
CONTROL (n) | approved | something that controls | -
CONTROL (v) | approved | to give or send signals that adjust, operate, or keep something to a limit, or that cause something to operate | -
conventional (adj) | not approved | - | STANDARD (adj)
converse (adj) | not approved | - | OPPOSITE (adj)
convert (v) | not approved | - | CHANGE (v)
convey (v) | not approved | - | MOVE (v), TELL (v)
COOL (adj) | approved | moderately cold | -
cool (v) | not approved | - | DECREASE (v), COOL (adj)
coordinate (v) | not approved | - | SYNCHRONIZED (adj)
COPY (n) | approved | an object made the same as another object | -
copy (v) | not approved | - | WRITE (v), COPY (n), RECORD (v)
CORNER (n) | approved | the point or the angle made when lines, sides, or edges touch | -
CORRECT (adj) | approved | that agrees with all that is necessary to the maximum | -
CORRECT (v) | approved | to make correct | -
CORRECTION (n) | approved | a change to make something correct | -
CORRECTLY (adv) | approved | in a correct manner | -
correctness (n) | not approved | - | CORRECT (adj), CORRECTLY (adv)
correspond (v) | not approved | - | AGREE (v), SAME (adj), DIFFERENT (adj)
corresponding (adj) | not approved | - | RELATED (adj)
corrode (v) | not approved | - | CORROSION (TN)
corrosive (adj) | not approved | - | CORROSION (TN)
COUNT (v) | approved | to add the number of objects or occurrences to get a total | -
COUNTERCLOCKWISE (adv) | approved | in the opposite direction to clockwise | -
couple (v) | not approved | - | CONNECT (v), ATTACH (v)
cover (v) | not approved | - | INCLUDE (v), HAVE (v), COVER (TN)
crack (v) | not approved | - | OPEN (v), CRACK (TN)
create (v) | not approved | - | MAKE (v), CAUSE (v)
critical (adj) | not approved | - | VERY IMPORTANT, CAREFUL (adj)
cross (v) | not approved | - | ACROSS (adv), CORRECTLY (adv)
curvature (n) | not approved | - | BEND (n), CURVE (n), RADIUS (TN)
CURVE (n) | approved | the shape of something which is bent but which has no angles | -
curve (v) | not approved | - | MAKE A CURVE
CUT (v) | approved | to divide into parts; to remove with a sharp tool | -
CYCLE (n) | approved | one complete sequence of operation | -
cycle (v) | not approved | - | CYCLE (n)
DAMAGE (n) | approved | the result of an occurrence that causes deterioration of the condition of something | -
damage (v) | not approved | - | DAMAGE (n)
DAMAGED (adj) | approved | that has or can be affected by damage | -
damp (adj) | not approved | - | MOIST (adj)
dampen (v) | not approved | - | DECREASE (v), MAKE MOIST
danger (n) | not approved | - | RISK (n), DANGEROUS (adj)
DANGEROUS (adj) | approved | that can cause injury, damage to health or can kill | -
dangerously (adv) | not approved | - | DANGEROUS (adj)
DATA (n) | approved | known facts; numbers and symbols used by computers You can also use the singular. | -
DATE (n) | approved | the time at which an event occurs | -
DE-ENERGIZE (v) | approved | to remove electrical power from | -
de-ice (v) | not approved | - | ICE (TN)
DEACTIVATE (v) | approved | to make a system, function, or feature no longer ready for operation | STOP (v)
deadly (adj) | not approved | - | KILL (v)
deaerate (v) | not approved | - | BLEED (v), AIR (TN)
dearm (v) | not approved | - | DISARM (v), REMOVE (v)
decay (v) | not approved | - | DECREASE (v)
decelerate (v) | not approved | - | DECREASE (v), SLOWER (adj)
decide (v) | not approved | - | SELECT (v), DECISION (n)
DECISION (n) | approved | the result after you think about a problem | -
decontamination (n) | not approved | - | REMOVE, CONTAMINATION, CLEAN (v)
decrease (n) | not approved | - | DECREASE (v)
DECREASE (v) | approved | to make or become smaller or lower | -
decrement (n) | not approved | - | INCREMENT (n)
DEDICATED (adj) | approved | that is used only for one purpose | -
DEEP (adj) | approved | that has a specified | -
DEFECTIVE (adj) | approved | unserviceable for operation | -
define (v) | not approved | - | CALCULATE (v), GIVE (v), SPECIFIED (adj)
DEFLATE (v) | approved | to make or become smaller as a result of depressurization | -
deflect (v) | not approved | - | MOVE (v)
deflection (n) | not approved | - | MOVEMENT (n), POSITION (n), TRAVEL (n)
deformed (adj) | not approved | - | DAMAGED (adj), DEFORMATION (TN)
DEFUEL (v) | approved | to remove fuel | -
defueling (n) | not approved | - | DEFUEL (v)
degrease (v) | not approved | - | GREASE (TN)
delay (n) | not approved | - | INTERVAL (n), IMMEDIATELY (adv)
delay (v) | not approved | - | AFTER (prep)
delete (v) | not approved | - | ERASE (v), REMOVE (v)
delicate (adj) | not approved | - | EASILY DAMAGED
